subject_area,course_type,country,school_experience,available_slots,current_load,max_capacity,capacity_status,risk_level,notes
商科,Final,UK,"Manchester,UCL,KCL,LSE,Warwick",15,6,20,充足,low,商科期末冲刺资源充足可强推
管理,Final,UK,"Manchester,Birmingham,Nottingham",12,5,18,充足,low,管理类期末冲刺资源充足
金融,Final,UK,"LSE,UCL,KCL",8,6,12,正常,medium,金融类老师资源正常
经济,Final,UK,"UCL,LSE,Warwick",6,5,10,正常,medium,经济类资源基本满足
会计,Final,UK,"Manchester,Birmingham",5,4,8,正常,medium,会计类资源基本满足
计算机,Final,UK,"UCL,Manchester,Edinburgh",3,5,6,紧张,high,计算类考试老师资源紧张谨慎推广
工程,Final,UK,"Manchester,Birmingham",2,4,5,紧张,high,工程类考试老师资源不足
数学,Final,UK,All,1,3,4,暂停接单,critical,数学类暂停强推等待补充老师
商科,Dissertation,UK,"Manchester,UCL,KCL,Warwick",10,7,15,正常,low,Dissertation商科资源正常
社科,Dissertation,UK,"UCL,LSE,Edinburgh",8,5,12,正常,low,社科Dissertation资源正常
商科,Essay,UK,All,20,8,30,充足,low,商科Essay资源充足
管理,Essay,UK,All,15,6,25,充足,low,管理Essay充足
商科,学年包,UK,All,10,4,15,正常,low,学年包商科资源正常
商科,保过辅导,UK,All,8,3,12,正常,low,保过辅导资源正常
商科,Final,Australia,"UNSW,墨大,悉大,昆大",10,5,15,充足,low,澳洲商科Final资源充足
理工,Final,Australia,"UNSW,墨大",3,4,6,紧张,high,澳洲理工资源紧张
AI合规修改,Essay,UK,All,15,4,20,充足,low,AI合规修改资源充足
