order_date,school,country,product,course_code,deadline,amount,sales_owner,status
2026-05-10,UCL,UK,dissertation,ECON3001,2026-06-20,9000,Lucia,completed
2026-05-12,LSE,UK,guaranteed,FIN301,2026-06-25,6500,销售A,completed
2026-05-14,KCL,UK,final_prediction,NURS2001,2026-06-18,3500,销售B,completed
2026-05-16,Manchester,UK,annual_package,BUSS1001,2026-11-30,18000,销售A,in_progress
2026-05-18,Warwick,UK,dissertation,EC301,2026-06-22,8500,Lucia,completed
2026-05-20,UNSW,Australia,final_prediction,ACCT2101,2026-06-15,3000,销售B,completed
2026-05-22,Melbourne,Australia,annual_package,MGMT2001,2026-11-30,16000,销售A,in_progress
2026-05-25,UCL,UK,ai_learning,COMP3001,2026-07-01,4500,Lucia,in_progress
2026-05-28,KCL,UK,guaranteed,MEDI3001,2026-06-30,7000,销售B,in_progress
2026-06-01,LSE,UK,final_prediction,EC2020,2026-06-28,3500,销售A,completed
2026-06-02,Manchester,UK,dissertation,BUSS3001,2026-07-10,9500,Lucia,in_progress
2026-06-03,UNSW,Australia,guaranteed,ACCT3001,2026-07-05,6000,销售B,in_progress
2026-06-05,Warwick,UK,ai_learning,CS301,2026-07-15,4000,销售A,in_progress
2026-06-07,Melbourne,Australia,dissertation,MGMT3001,2026-07-20,8000,Lucia,in_progress
